"symbol","company_name"
"ALNA","Allena Pharmaceuticals, Inc. - Common Stock"
"ALNY","Alnylam Pharmaceuticals, Inc. - Common Stock"
"ALOT","AstroNova, Inc. - Common Stock"
"ALPN","Alpine Immune Sciences, Inc. - Common Stock"
"ALRM","Alarm.com Holdings, Inc. - Common Stock"
"ALRN","Aileron Therapeutics, Inc. - Common Stock"
"ALRS","Alerus Financial Corporation - Common Stock"
"ALSK","Alaska Communications Systems Group, Inc. - Common Stock"
"ALSN","Allison Transmission Holdings, Inc. Common Stock"
"ALT","Altimmune, Inc. - Common Stock"
"ALTA","Altabancorp - Common Stock"
"ALTG","Alta Equipment Group Inc. Class A Common Stock"
"ALTM","Altus Midstream Company - Class A Common Stock"
"ALTO","Alto Ingredients, Inc. - Common Stock"
"ALTR","Altair Engineering Inc. - Class A Common Stock"
"ALTU","Altitude Acquisition Corp. - Class A Common Stock"
"ALUS","Alussa Energy Acquisition Corp. Class A Ordinary Shares"
"ALV","Autoliv, Inc. Common Stock"
"ALVR","AlloVir, Inc. - Common Stock"
"ALX","Alexander's, Inc. Common Stock"
"ALXN","Alexion Pharmaceuticals, Inc. - Common Stock"
"ALXO","ALX Oncology Holdings Inc. - Common Stock"
"ALYA","Alithya Group inc. - Class A subordinate voting shares"
"AM","Antero Midstream Corporation Common Stock"
"AMAL","Amalgamated Financial Corp. - Common Stock"
"AMAO","American Acquisition Opportunity Inc. - Class A Common Stock"
"AMAT","Applied Materials, Inc. - Common Stock"
"AMBA","Ambarella, Inc. - Ordinary Shares"
"AMBC","Ambac Financial Group, Inc. Common Stock"
"AMBO","Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shares"
"AMC","AMC Entertainment Holdings, Inc. Class A Common Stock"
"AMCR","Amcor plc Ordinary Shares"
"AMCX","AMC Networks Inc. - Class A Common Stock"
"AMD","Advanced Micro Devices, Inc. - Common Stock"
"AME","AMETEK, Inc."
"AMED","Amedisys Inc - Common Stock"
"AMEH","Apollo Medical Holdings, Inc. - Common Stock"
"AMG","Affiliated Managers Group, Inc. Common Stock"
"AMGN","Amgen Inc. - Common Stock"
"AMH","American Homes 4 Rent Common Shares of Beneficial Interest"
"AMHC","Amplitude Healthcare Acquisition Corporation - Class A Common Stock"
"AMJ","JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN"
"AMK","AssetMark Financial Holdings, Inc. Common Stock"
"AMKR","Amkor Technology, Inc. - Common Stock"
"AMN","AMN Healthcare Services Inc AMN Healthcare Services Inc"
"AMNB","American National Bankshares, Inc. - Common Stock"
"AMOT","Allied Motion Technologies, Inc. - Common Stock"
"AMOV","America Movil, S.A.B. de C.V. Class A American Depositary Shares"
"AMP","Ameriprise Financial, Inc. Common Stock"
"AMPE","Ampio Pharmaceuticals, Inc."
"AMPG","Amplitech Group, Inc. - Common Stock"
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock"
"AMPI","Advanced Merger Partners, Inc. Class A Common Stock"
"AMPY","Amplify Energy Corp. Common Stock"
"AMR","Alpha Metallurgical Resources, Inc. Common Stock"
"AMRB","American River Bankshares - Common Stock"
"AMRC","Ameresco, Inc. Class A Common Stock"
"AMRK","A-Mark Precious Metals, Inc. - Common Stock"
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
"AMRS","Amyris, Inc. - Common Stock"
"AMRX","Amneal Pharmaceuticals, Inc. Class A Common Stock"
"AMS","American Shared Hospital Services Common Stock"
"AMSC","American Superconductor Corporation - Common Stock"
"AMSF","AMERISAFE, Inc. - Common Stock"
"AMST","Amesite Inc. - Common Stock"
"AMSWA","American Software, Inc. - Class A Common Stock"
"AMT","American Tower Corporation (REIT) Common Stock"
"AMTB","Amerant Bancorp Inc. - Class A Common Stock"
"AMTBB","Amerant Bancorp Inc. - Class B Common Stock"
"AMTI","Applied Molecular Transport Inc. - common stock"
"AMTR","ETRACS Alerian Midstream Energy Total Return Index ETN"
"AMTX","Aemetis, Inc - Common Stock"
"AMUB","ETRACS Alerian MLP Index ETN Series B due July 18, 2042"
"AMWD","American Woodmark Corporation - Common Stock"
"AMWL","American Well Corporation Class A Common Stock"
"AMX","America Movil, S.A.B. de C.V. American Depository Receipt Series L"
"AMYT","Amryt Pharma plc - American Depositary Shares"
"AMZN","Amazon.com, Inc. - Common Stock"
"AN","AutoNation, Inc. Common Stock"
"ANAB","AnaptysBio, Inc. - Common Stock"
"ANAC","Arctos NorthStar Acquisition Corp. Class A Ordinary Shares"
"ANAT","American National Group, Inc. - Common Stock"
"ANDA","Andina Acquisition Corp. III - Ordinary Shares"
"ANDAR","Andina Acquisition Corp. III - Right"
"ANDE","The Andersons, Inc. - Common Stock"
"ANEB","Anebulo Pharmaceuticals, Inc. - Common Stock"
"ANET","Arista Networks, Inc. Common Stock"
"ANF","Abercrombie & Fitch Company Common Stock"
"ANGI","Angi Inc. - Class A Common Stock"
"ANGN","Angion Biomedica Corp. - Common Stock"
"ANGO","AngioDynamics, Inc. - Common Stock"
"ANIK","Anika Therapeutics Inc. - Common Stock"
"ANIP","ANI Pharmaceuticals, Inc. - Common Stock"
"ANIX","Anixa Biosciences, Inc. - Common Stock"
"ANNX","Annexon, Inc. - common stock"
"ANPC","AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares"
"ANSS","ANSYS, Inc. - Common Stock"
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares"
"ANTM","Anthem, Inc. Common Stock"
"ANVS","Annovis Bio, Inc. Common Stock"
"ANY","Sphere 3D Corp. - Common Shares"
"ANZU","Anzu Special Acquisition Corp I - Class A Common Stock"
"AOD","Aberdeen Total Dynamic Dividend Fund Common Stock"
"AON","Aon plc Class A Ordinary Shares (Ireland)"
"AONE","one Class A Ordinary Shares"
"AOS","A.O. Smith Corporation Common Stock"
"AOSL","Alpha and Omega Semiconductor Limited - Common Shares"
"AOUT","American Outdoor Brands, Inc. - Common Stock"
"AP","Ampco-Pittsburgh Corporation Common Stock"
"APA","APA Corporation - Common Stock"
"APAM","Artisan Partners Asset Management Inc. Class A Common Stock"
"APD","Air Products and Chemicals, Inc. Common Stock"
"APDN","Applied DNA Sciences, Inc. - Common Stock"
"APEI","American Public Education, Inc. - Common Stock"
"APEN","Apollo Endosurgery, Inc. - Common Stock"
"APG","APi Group Corporation Common Stock"
"APGB","Apollo Strategic Growth Capital II Class A Ordinary Shares"
"APH","Amphenol Corporation Common Stock"
"API","Agora, Inc. - ADS"
"APLE","Apple Hospitality REIT, Inc. Common Shares"
"APLS","Apellis Pharmaceuticals, Inc. - Common Stock"
"APLT","Applied Therapeutics, Inc. - Common Stock"
"APM","Aptorum Group Limited - Class A Ordinary Shares"
"APO","Apollo Global Management, Inc. Class A Common Stock"
"APOG","Apogee Enterprises, Inc. - Common Stock"
"APOP","Cellect Biotechnology Ltd. - American Depositary Shares"
"APOPW","Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS)"
"APP","Applovin Corporation - Class A Common Stock"
"APPF","AppFolio, Inc. - Class A Common Stock"
"APPH","AppHarvest, Inc. - Common Stock"
"APPN","Appian Corporation - Class A Common Stock"
"APPS","Digital Turbine, Inc. - Common Stock"
"APR","Apria, Inc. - Common Stock"
"APRE","Aprea Therapeutics, Inc. - Common Stock"
"APRN","Blue Apron Holdings, Inc. Class A Common Stock"
"APSG","Apollo Strategic Growth Capital Class A Ordinary Shares"
"APT","Alpha Pro Tech, Ltd. Common Stock"
"APTO","Aptose Biosciences, Inc. - Common Shares"
"APTS","Preferred Apartment Communities, Inc. Common Stock"
"APTV","Aptiv PLC Ordinary Shares"
"APTX","Aptinyx Inc. - Common Stock"
"APVO","Aptevo Therapeutics Inc. - Common Stock"
"APWC","Asia Pacific Wire  - Common shares, Par value .01 per share"
"APXT","Apex Technology Acquisition Corporation - Class A Common Stock"
"APYX","Apyx Medical Corporation - Common Stock"
"AQB","AquaBounty Technologies, Inc. - Common Stock"
"AQMS","Aqua Metals, Inc. - Common Stock"
"AQN","Algonquin Power & Utilities Corp. Common Shares"
"AQNA","Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17, 2078"
"AQNB","Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079"
"AQST","Aquestive Therapeutics, Inc. - Common Stock"
"AQUA","Evoqua Water Technologies Corp. Common Stock"
"AR","Antero Resources Corporation Common Stock"
"ARAV","Aravive, Inc. - Common Stock"
"ARAY","Accuray Incorporated - Common Stock"
"ARBG","Aequi Acquisition Corp. - common stock"
"ARBGW","Aequi Acquisition Corp. - warrants"
"ARC","ARC Document Solutions, Inc. Common Stock"
"ARCB","ArcBest Corporation - Common Stock"
"ARCC","Ares Capital Corporation - Closed End Fund"
"ARCE","Arco Platform Limited - Class A Common Shares"
"ARCH","Arch Resources, Inc. Class A Common Stock"
"ARCO","Arcos Dorados Holdings Inc. Class A Shares"
"ARCT","Arcturus Therapeutics Holdings Inc. - Common Stock"
"ARD","Ardagh Group S.A. Common Shares"
"ARDC","Ares Dynamic Credit Allocation Fund, Inc. Common Shares"
"ARDS","Aridis Pharmaceuticals Inc. - Common Stock"
"ARDX","Ardelyx, Inc. - Common Stock"
"ARE","Alexandria Real Estate Equities, Inc. Common Stock"
"AREC","American Resources Corporation - Class A Common Stock"
"ARES","Ares Management Corporation Class A Common Stock"
"ARGD","Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042"
"ARGO","Argo Group International Holdings, Ltd."
"ARGX","argenx SE - American Depositary Shares"
"ARI","Apollo Commercial Real Estate Finance, Inc"
"ARKO","ARKO Corp. - Common Stock"
"ARKR","Ark Restaurants Corp. - Common Stock"
"ARL","American Realty Investors, Inc. Common Stock"
"ARLO","Arlo Technologies, Inc. Common Stock"
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
"ARMK","Aramark Common Stock"
"ARMP","Armata Pharmaceuticals, Inc. Common Stock"
"ARNA","Arena Pharmaceuticals, Inc. - Common Stock"
"ARNC","Arconic Corporation Common Stock "
"AROC","Archrock, Inc. Common Stock"
"AROW","Arrow Financial Corporation - Common Stock"
"ARPO","Aerpio Pharmaceuticals, Inc. - Common Stock"
"ARQT","Arcutis Biotherapeutics, Inc. - Common stock"
"ARR","ARMOUR Residential REIT, Inc."
"ARRW","Arrowroot Acquisition Corp. - Class A common stock"
"ARRY","Array Technologies, Inc. - Common Stock"
"ARTL","Artelo Biosciences, Inc. - Common Stock"
"ARTNA","Artesian Resources Corporation - Class A Non-Voting Common Stock"
"ARTW","Art's-Way Manufacturing Co., Inc. - Common Stock"
"ARVL","Arrival - Ordinary Shares"
"ARVN","Arvinas, Inc. - Common Stock"
"ARW","Arrow Electronics, Inc. Common Stock"
"ARWR","Arrowhead Pharmaceuticals, Inc. - Common Stock"
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares"
"ARYD","ARYA Sciences Acquisition Corp IV - Class A Ordinary Shares"
"ASA","ASA  Gold and Precious Metals Limited"
"ASAI","Sendas Distribuidora S.A. ADS"
"ASAN","Asana, Inc. Class A Common Stock"
"ASAQ","Atlantic Street Acquisition Corp Class A Common Stock"
"ASAX","Astrea Acquisition Corp. - Class A Common Stock"
"ASB","Associated Banc-Corp Common Stock"
"ASC","Ardmore Shipping Corporation Common Stock"
"ASG","Liberty All-Star Growth Fund, Inc."
"ASGI","Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest"
"ASGN","ASGN Incorporated Common Stock"
"ASH","Ashland Global Holdings Inc. Common Stock"
"ASIX","AdvanSix Inc. Common Stock "
"ASLE","AerSale Corporation - Common Stock"
"ASLN","ASLAN Pharmaceuticals Limited - American Depositary Shares"
"ASM","Avino Silver & Gold Mines Ltd. Common Shares (Canada)"
"ASMB","Assembly Biosciences, Inc. - Common Stock"
"ASML","ASML Holding N.V. - New York Registry Shares"
"ASND","Ascendis Pharma A/S - American Depositary Shares"
"ASO","Academy Sports and Outdoors, Inc. - Common Stock"
"ASPC","Alpha Capital Acquisition Company - One Class A Ordinary Share"
"ASPL","Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares"
"ASPN","Aspen Aerogels, Inc. Common Stock"
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock"
"ASPU","Aspen Group Inc. - Common Stock"
"ASR","Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock"
"ASRT","Assertio Holdings, Inc. - Common Stock"
